epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9693,2.34216,3.3482,1.26979,0.28865,0.46726,0.16487,0.10127,1.17596,2.88075,0.85012,0.07129,0.00029,0.00029
2,64.754,0.96763,1.4688,0.81202,0.338,0.52262,0.25598,0.18276,0.94296,1.63828,0.81982,0.0415783,0.000578318,0.000578318
3,92.8738,0.84537,1.36378,0.79902,0.3953,0.53457,0.30133,0.24319,0.70236,1.43906,0.79733,0.0118548,0.000854756,0.000854756
4,121.484,0.75308,1.32038,0.79327,0.40066,0.46324,0.32213,0.25802,0.69462,1.37315,0.79838,0.0009406,0.0009406,0.0009406
5,150.137,0.70279,1.25318,0.78896,0.26069,0.48855,0.33556,0.26917,0.6566,1.28927,0.79226,0.0009208,0.0009208,0.0009208
6,178.686,0.67605,1.21969,0.78737,0.3379,0.51958,0.37917,0.3191,0.58601,1.20524,0.79139,0.000901,0.000901,0.000901
7,208.631,0.64335,1.17841,0.78493,0.37214,0.58683,0.42863,0.3597,0.58719,1.15177,0.79073,0.0008812,0.0008812,0.0008812
8,238.494,0.64904,1.12432,0.7845,0.49525,0.50315,0.49672,0.40868,0.61296,1.10874,0.79142,0.0008614,0.0008614,0.0008614
9,267.776,0.63863,1.08166,0.78508,0.41201,0.60487,0.51882,0.44499,0.55605,1.0246,0.78809,0.0008416,0.0008416,0.0008416
10,297.441,0.62188,1.02746,0.78278,0.42647,0.61543,0.52704,0.44933,0.58134,1.11622,0.78922,0.0008218,0.0008218,0.0008218
11,327.341,0.6283,1.00231,0.7856,0.48039,0.5393,0.54556,0.46518,0.5854,1.00814,0.7891,0.000802,0.000802,0.000802
12,358.319,0.61039,0.94922,0.78352,0.49777,0.62137,0.58029,0.50021,0.53724,1.21308,0.7862,0.0007822,0.0007822,0.0007822
13,388.766,0.60231,0.908,0.78378,0.61245,0.67913,0.70578,0.60544,0.53334,0.86564,0.78524,0.0007624,0.0007624,0.0007624
14,419.651,0.5863,0.88822,0.78064,0.64534,0.6266,0.68112,0.59065,0.53619,0.84847,0.78784,0.0007426,0.0007426,0.0007426
15,450.001,0.60158,0.89313,0.78377,0.6124,0.64143,0.69132,0.59142,0.54093,0.9548,0.78803,0.0007228,0.0007228,0.0007228
16,479.93,0.5935,0.83101,0.78279,0.67549,0.68414,0.73837,0.63859,0.52027,0.78199,0.78649,0.000703,0.000703,0.000703
17,510.182,0.58278,0.8253,0.78046,0.64598,0.62693,0.69374,0.5958,0.53679,0.86009,0.78716,0.0006832,0.0006832,0.0006832
18,540.693,0.55971,0.7619,0.77807,0.72436,0.72578,0.78765,0.6873,0.50794,0.69191,0.7844,0.0006634,0.0006634,0.0006634
19,571.518,0.55255,0.73343,0.78061,0.72032,0.70049,0.77191,0.67545,0.50347,0.7176,0.78394,0.0006436,0.0006436,0.0006436
20,602.115,0.56851,0.72546,0.77933,0.76979,0.75701,0.84036,0.73465,0.50727,0.63136,0.78479,0.0006238,0.0006238,0.0006238
21,632.757,0.55552,0.67369,0.7817,0.76773,0.79106,0.85674,0.75424,0.48005,0.59502,0.78381,0.000604,0.000604,0.000604
22,663.742,0.55993,0.67874,0.77719,0.80128,0.74343,0.85882,0.74551,0.52558,0.60293,0.78537,0.0005842,0.0005842,0.0005842
23,693.942,0.53263,0.64466,0.77755,0.76956,0.79122,0.86827,0.76538,0.47092,0.62249,0.783,0.0005644,0.0005644,0.0005644
24,724.448,0.53486,0.6378,0.77808,0.82609,0.81312,0.88943,0.77748,0.48108,0.54607,0.78376,0.0005446,0.0005446,0.0005446
25,755.629,0.52554,0.61046,0.77723,0.82864,0.81215,0.88865,0.78228,0.4741,0.55939,0.78354,0.0005248,0.0005248,0.0005248
26,787.271,0.5282,0.6161,0.77912,0.82748,0.82274,0.89686,0.79333,0.46108,0.55766,0.78247,0.000505,0.000505,0.000505
27,817.843,0.5211,0.60452,0.77526,0.83269,0.8196,0.90075,0.79923,0.46029,0.5294,0.78252,0.0004852,0.0004852,0.0004852
28,848.337,0.51156,0.58009,0.77672,0.8153,0.83564,0.90224,0.80047,0.45463,0.53019,0.78255,0.0004654,0.0004654,0.0004654
29,878.604,0.49477,0.54257,0.77531,0.87294,0.84539,0.92086,0.82308,0.43851,0.50612,0.78315,0.0004456,0.0004456,0.0004456
30,908.484,0.54226,0.58074,0.77797,0.85453,0.85859,0.92461,0.82814,0.43111,0.47956,0.78074,0.0004258,0.0004258,0.0004258
31,938.405,0.49137,0.53755,0.77671,0.86412,0.86129,0.92857,0.83031,0.43852,0.48098,0.78174,0.000406,0.000406,0.000406
32,968.68,0.5109,0.55806,0.77404,0.86577,0.86255,0.931,0.8308,0.43914,0.46691,0.78118,0.0003862,0.0003862,0.0003862
33,999.525,0.49073,0.52976,0.77656,0.89506,0.86198,0.9385,0.83916,0.42519,0.44371,0.78068,0.0003664,0.0003664,0.0003664
34,1029.97,0.47684,0.5041,0.77535,0.88491,0.88455,0.94035,0.8411,0.41714,0.45234,0.78018,0.0003466,0.0003466,0.0003466
35,1059.57,0.47318,0.49216,0.77442,0.88719,0.87202,0.94008,0.84742,0.41975,0.43462,0.7821,0.0003268,0.0003268,0.0003268
36,1089.94,0.47422,0.49713,0.7736,0.87634,0.90145,0.94711,0.84518,0.42951,0.43897,0.78002,0.000307,0.000307,0.000307
37,1120.2,0.46876,0.46836,0.77151,0.89137,0.86553,0.93907,0.8457,0.42036,0.42934,0.7811,0.0002872,0.0002872,0.0002872
38,1150.05,0.47616,0.47958,0.77304,0.87914,0.89494,0.94417,0.85054,0.41051,0.4298,0.78042,0.0002674,0.0002674,0.0002674
39,1179.41,0.46707,0.47006,0.77302,0.8854,0.91713,0.95187,0.85891,0.40866,0.40231,0.77991,0.0002476,0.0002476,0.0002476
40,1209.78,0.45345,0.46181,0.77111,0.91001,0.88616,0.95016,0.85882,0.40612,0.40999,0.78111,0.0002278,0.0002278,0.0002278
41,1242.23,0.44957,0.43825,0.77035,0.89073,0.88736,0.94748,0.85182,0.42418,0.41988,0.78068,0.000208,0.000208,0.000208
42,1270.38,0.43879,0.42756,0.77188,0.89588,0.90742,0.95338,0.85488,0.42139,0.41188,0.78066,0.0001882,0.0001882,0.0001882
43,1297.39,0.42889,0.39999,0.77182,0.89958,0.89027,0.9526,0.86032,0.41755,0.40566,0.7803,0.0001684,0.0001684,0.0001684
44,1324.68,0.41753,0.39314,0.77208,0.90201,0.89156,0.95135,0.85924,0.40988,0.40812,0.77974,0.0001486,0.0001486,0.0001486
45,1351.92,0.42735,0.39993,0.77135,0.90761,0.90522,0.95556,0.86339,0.40386,0.38992,0.77927,0.0001288,0.0001288,0.0001288
46,1379.13,0.40698,0.37307,0.76619,0.91931,0.90646,0.9627,0.87582,0.3924,0.3698,0.77883,0.000109,0.000109,0.000109
47,1407.29,0.40165,0.36257,0.77182,0.93016,0.89807,0.96319,0.87506,0.39834,0.36642,0.7797,8.92e-05,8.92e-05,8.92e-05
48,1434.63,0.39413,0.35614,0.76909,0.91305,0.9141,0.96462,0.88209,0.38866,0.36056,0.77913,6.94e-05,6.94e-05,6.94e-05
49,1462.37,0.38827,0.34537,0.76905,0.91272,0.91596,0.96319,0.87866,0.38463,0.36617,0.77902,4.96e-05,4.96e-05,4.96e-05
50,1489.52,0.38686,0.33729,0.7673,0.90246,0.93193,0.96648,0.88267,0.38308,0.35086,0.77918,2.98e-05,2.98e-05,2.98e-05
