epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.832,1.36623,1.26614,1.20367,0.7447,0.63982,0.66774,0.3946,1.37764,1.54395,1.22344,0.000665076,0.000665076,0.000665076
2,806.432,1.31989,0.88008,1.15793,0.87063,0.72133,0.80382,0.49567,1.34848,0.82096,1.17224,0.00124934,0.00124934,0.00124934
3,1196.25,1.29296,0.84483,1.14292,0.86727,0.73104,0.80816,0.50406,1.33389,0.78466,1.17752,0.00175111,0.00175111,0.00175111
4,1582.18,1.27172,0.81449,1.132,0.87016,0.75551,0.82569,0.52,1.28449,0.73969,1.13029,0.00162875,0.00162875,0.00162875
5,1950.27,1.24698,0.77313,1.11411,0.86986,0.76777,0.83453,0.52668,1.24219,0.70884,1.12023,0.001505,0.001505,0.001505
6,2309.13,1.22022,0.73748,1.10432,0.88258,0.77436,0.84944,0.54586,1.24251,0.67471,1.11775,0.00138125,0.00138125,0.00138125
7,2654.46,1.22299,0.71456,1.11036,0.88273,0.76046,0.83971,0.54239,1.24055,0.69056,1.11826,0.0012575,0.0012575,0.0012575
8,2994.25,1.20406,0.68376,1.10185,0.88327,0.78124,0.85805,0.55964,1.22067,0.6443,1.10434,0.00113375,0.00113375,0.00113375
9,3334.06,1.19079,0.65895,1.08759,0.88544,0.78493,0.86278,0.55939,1.22098,0.63778,1.10531,0.00101,0.00101,0.00101
10,3673.14,1.17762,0.63951,1.08242,0.88529,0.79504,0.86862,0.55995,1.2099,0.61783,1.10128,0.00088625,0.00088625,0.00088625
11,4010.01,1.16434,0.62231,1.07351,0.88558,0.8028,0.87307,0.57811,1.17619,0.59172,1.07955,0.0007625,0.0007625,0.0007625
12,4348.43,1.1496,0.60348,1.06694,0.88434,0.81027,0.87954,0.5815,1.17779,0.58088,1.07731,0.00063875,0.00063875,0.00063875
13,4695.18,1.13947,0.58728,1.05621,0.8798,0.81586,0.8813,0.58738,1.16499,0.56726,1.07061,0.000515,0.000515,0.000515
14,5059.6,1.1267,0.56858,1.05294,0.89233,0.80901,0.88363,0.58929,1.1584,0.55636,1.06827,0.00039125,0.00039125,0.00039125
15,5431.13,1.1156,0.5539,1.0457,0.89316,0.81532,0.88814,0.59546,1.14954,0.5449,1.06042,0.0002675,0.0002675,0.0002675
16,5800.04,1.10088,0.53302,1.03777,0.89314,0.82208,0.89076,0.59723,1.14714,0.5292,1.05688,0.00014375,0.00014375,0.00014375
